dimension,samplesize,time,actual,synthesized,accuracy,constrain_difference
2,20,0.16269319183097752,0.0,0.4216370213557839,0.05911382616989401,0.4216370213557839
2,30,0.16126380031039014,0.0,0.5163977794943222,0.07254117604658902,0.5163977794943222
2,40,0.13402456880282565,0.0,0.31622776601683805,0.039101008796307145,0.31622776601683805
2,50,0.14805136086220358,0.0,0.31622776601683805,0.05396500923952687,0.31622776601683805
2,100,0.49649970967011353,0.0,0.5163977794943222,0.022705848487901824,0.5163977794943222
2,200,0.31886094421529965,0.0,0.0,0.020976176963402992,0.0
2,300,0.7590194485524835,0.0,0.0,0.009718253158075516,0.0
2,400,0.8810680674475123,0.0,0.0,0.011352924243950941,0.0
2,500,0.8720048328033638,0.0,0.0,0.012472191289246473,0.0
3,20,0.050575398422377155,0.0,0.0,0.070742098106039,0.0
3,30,0.16586409002695895,0.0,0.0,0.030930028559098776,0.0
3,40,0.492753347608858,0.0,0.52704627669473,0.06419588079550832,0.52704627669473
3,50,0.5804976536159857,0.0,0.31622776601683794,0.06314885412877874,0.31622776601683794
3,100,5.909014692935247,0.0,0.5163977794943222,0.0376533899905145,0.5163977794943222
3,200,6.375249806048821,0.0,0.316227766016838,0.029059326290271158,0.316227766016838
3,300,24.43392034425385,0.0,0.7378647873726218,0.018737959096740225,0.7378647873726218
3,400,60.33732180356346,0.0,0.5270462766947298,0.018737959096740277,0.5270462766947298
3,500,72.05679064597085,0.0,0.5163977794943222,0.02011080417199782,0.5163977794943222
4,20,0.22768891966725816,0.0,0.0,0.04442221666388713,0.0
4,30,0.659329416313286,0.0,0.0,0.07397447007057383,0.0
4,40,0.577478541485878,0.0,0.0,0.038887301554906384,0.0
4,50,2.553242916827658,0.0,0.4830458915396479,0.0914634110207768,0.4830458915396479
4,100,27.977595223499495,0.0,0.31622776601683794,0.03274480450731416,0.31622776601683794
4,200,134.30720158563196,0.0,0.0,0.034009802508492545,0.0
4,300,1105.6526357189257,0.0,0.5163977794943223,0.02718251071716682,0.5163977794943223
4,400,1763.9740247078093,0.0,0.6666666666666666,0.02299758441421377,0.6666666666666666
4,500,818.0804445237552,0.0,0.31622776601683794,0.020439612955674483,0.31622776601683794
5,20,0.5024070728479029,0.0,0.4216370213557839,0.05287301349039559,0.4216370213557839
5,30,0.46483740166612103,0.0,0.0,0.08286535263104033,0.0
5,40,1.3774611259923868,0.0,0.0,0.05037636129950017,0.0
5,50,18.428680805089197,0.0,0.31622776601683805,0.06373556481449132,0.31622776601683805
5,100,51.4964420631952,0.0,0.0,0.06586180818788515,0.0
6,20,0.4844625539509849,0.0,0.48304589153964794,0.043011626335213125,0.48304589153964794
6,30,1.7103156077726136,0.0,0.0,0.07099295739719537,0.0
6,40,4.929121126742822,0.0,0.0,0.06063552314169201,0.0
6,50,8.169435840537718,0.0,0.0,0.04089281382128433,0.0
6,100,204.32852649025713,0.0,0.316227766016838,0.0609553570701998,0.316227766016838
