dimension,samplesize,time,actual,synthesized,tpr,tnr,constrain_difference
2,20,0.13597631454467773,3.0,2.2,0.786094684172752,0.8116260965642035,-0.7999999999999998
2,30,0.2418052911758423,3.0,2.5,0.8203959210505642,0.8873744684321331,-0.5
2,40,0.2791078805923462,3.0,2.6,0.846709500426871,0.858469235240646,-0.3999999999999999
2,50,0.2711044788360596,3.0,2.4,0.8594052272971743,0.89336614911276,-0.6000000000000001
2,100,0.5642796754837036,3.0,3.0,0.9214199582631494,0.9796668752867553,0.0
2,200,0.9826825380325317,3.0,3.0,0.9605900028943986,0.9927360332125079,0.0
2,300,1.484920573234558,3.0,3.0,0.9620300228623787,0.9910348092677019,0.0
2,400,2.113162112236023,3.0,3.0,0.9749487063079914,0.9982084469270941,0.0
2,500,2.2640042543411254,3.0,3.0,0.981146683682318,0.9960430830715321,0.0
3,20,0.12557783126831054,7.0,1.5,0.7748133488408857,0.8746177202748762,-5.5
3,30,0.16931166648864746,7.0,1.3,0.9194311502918481,0.847398803858223,-5.7
3,40,0.32700021266937257,7.0,1.8,0.8264131465397739,0.9035108830345215,-5.2
3,50,0.5049238681793213,7.0,2.1,0.8550427936567486,0.9026488439481485,-4.9
3,100,1.9605586290359498,7.0,3.2,0.9128551340819708,0.9320016104443166,-3.8
3,200,4.562700963020324,7.0,3.5,0.9502719640860995,0.9576392841080995,-3.5
3,300,6.939389753341675,7.0,4.1,0.9476033579788099,0.971797885868499,-2.9000000000000004
3,400,14.286644124984742,7.0,4.3,0.9583340793103726,0.9826037942696665,-2.7
3,500,19.38515453338623,7.0,4.7,0.9469204883672251,0.9807713071508527,-2.3
4,20,0.10495829582214355,13.0,1.0,0.7953588550993906,0.8802182675422726,-12.0
4,30,0.24288511276245117,13.0,1.2,0.9010829458224322,0.8327662539739908,-11.8
4,40,0.3265986442565918,13.0,1.2,0.8935925120941535,0.9418594721767075,-11.8
4,50,0.26955926418304443,13.0,1.1,0.9094173385654543,0.9465495612870068,-11.9
4,100,0.9402942419052124,13.0,1.5,0.9456808329293122,0.9448542031979812,-11.5
4,200,3.8063261985778816,13.0,2.4,0.9438868140121388,0.9654600967864242,-10.6
4,300,6.206893730163574,13.0,2.2,0.9753242178445556,0.9641658499033904,-10.8
