dimension,samplesize,Time:Mean,Time:STD,Constrain_difference:Mean,Constrain_difference:Std,TPR:Mean,TPR:STD,TNR:Mean,TNR:STD
2,20,0.2,0.1,-1.7999999999999998,0.42163702135578385,0.84,0.09,0.75,0.1
2,30,0.3,0.1,-1.2999999999999998,0.4830458915396479,0.81,0.12,0.84,0.11
2,40,0.4,0.1,-1.1,0.316227766016838,0.83,0.08,0.89,0.06
2,50,0.5,0.2,-1.2000000000000002,0.42163702135578385,0.85,0.08,0.88,0.08
2,100,1.0,0.3,-0.7000000000000002,0.48304589153964794,0.93,0.04,0.94,0.03
2,200,1.9,0.5,0.0,0.0,0.95,0.01,0.98,0.01
2,300,2.7,0.8,0.0,0.0,0.96,0.02,0.98,0.02
2,400,3.6,1.0,0.0,0.0,0.97,0.01,0.99,0.01
2,500,3.8,0.7,0.0,0.0,0.98,0.02,0.99,0.01
3,20,0.2,0.0,-4.0,0.0,0.66,0.14,0.68,0.08
3,30,0.5,0.1,-4.0,0.0,0.87,0.09,0.68,0.05
3,40,1.4,0.6,-3.2,0.42163702135578396,0.8,0.08,0.82,0.08
3,50,1.6,0.6,-3.1,0.31622776601683794,0.81,0.06,0.83,0.06
3,100,6.5,4.8,-2.4,0.5163977794943222,0.89,0.05,0.9,0.04
3,200,16.5,9.9,-1.7000000000000002,0.4830458915396479,0.93,0.02,0.92,0.02
3,300,29.8,13.4,-0.9000000000000004,0.316227766016838,0.94,0.02,0.96,0.01
3,400,39.0,20.7,-0.7000000000000002,0.48304589153964794,0.95,0.02,0.96,0.01
3,500,80.5,78.5,-0.40000000000000036,0.5163977794943223,0.95,0.02,0.97,0.01
4,20,0.3,0.1,-6.1,0.31622776601683794,0.68,0.19,0.57,0.15
4,30,1.1,0.5,-6.0,0.0,0.77,0.13,0.65,0.05
4,40,2.1,1.0,-6.0,0.0,0.81,0.09,0.66,0.05
4,50,7.1,3.4,-5.3,0.48304589153964794,0.81,0.07,0.77,0.08
4,100,50.8,90.6,-4.9,0.31622776601683794,0.86,0.05,0.82,0.04
4,200,182.3,136.0,-3.8,0.42163702135578424,0.91,0.03,0.89,0.02
4,300,1766.7,2392.4,-3.3,0.4830458915396479,0.94,0.03,0.91,0.02
4,400,1829.0,2292.5,-3.0,0.0,0.96,0.02,0.93,0.01
4,500,1120.8,749.1,-2.9000000000000004,0.316227766016838,0.96,0.02,0.94,0.01
5,20,0.5,0.3,-8.1,0.31622776601683794,0.6,0.2,0.61,0.13
5,30,2.4,0.9,-8.0,0.0,0.74,0.15,0.65,0.06
5,40,4.3,2.7,-8.0,0.0,0.72,0.06,0.68,0.03
5,50,7.3,6.2,-8.0,0.0,0.82,0.07,0.65,0.04
5,100,103.9,64.7,-7.0,0.0,0.82,0.04,0.81,0.04
6,20,0.7,0.7,-10.3,0.4830458915396479,0.54,0.14,0.61,0.13
6,30,2.3,0.6,-10.0,0.0,0.66,0.15,0.68,0.08
6,40,5.3,3.6,-10.0,0.0,0.72,0.09,0.64,0.06
6,50,29.0,23.7,-10.0,0.0,0.76,0.09,0.67,0.06
6,100,551.9,284.9,-9.0,0.0,0.83,0.05,0.79,0.04
