dimension,samplesize,Time:Mean,Time:STD,Constrain_difference:Mean,Constrain_difference:Std,TPR:Mean,TPR:STD,TNR:Mean,TNR:STD
0,20,0.2,0.0,-1.99,0.03162277660168383,0.73,0.09,0.93,0.05
0,30,0.4,0.2,-2.0,0.0,0.8,0.1,0.92,0.07
0,40,0.9,1.2,-2.0,0.0,0.85,0.08,0.91,0.06
0,50,0.6,0.2,-2.0,0.0,0.88,0.08,0.93,0.05
0,100,2.9,2.9,-1.9,0.31622776601683794,0.93,0.04,0.96,0.02
0,200,9.7,10.5,-1.4,0.5163977794943222,0.94,0.03,0.97,0.02
0,300,37.9,27.2,-0.8999999999999999,0.31622776601683794,0.95,0.01,0.98,0.01
0,500,51.6,27.9,-1.0,0.47140452079103184,0.97,0.02,0.98,0.01
0,1000,266.3,148.8,0.0,0.0,0.98,0.01,0.99,0.0
0,2000,520.0,214.8,0.0,0.0,0.99,0.01,1.0,0.0
