dimension,samplesize,Time:Mean,Time:STD,Constrain_difference:Mean,Constrain_difference:Std,TPR:Mean,TPR:STD,TNR:Mean,TNR:STD
2,20,0.1,0.0,-0.8999999999999999,0.5676462121975466,0.84,0.13,0.85,0.09
2,30,0.3,0.1,-0.3999999999999999,0.5163977794943223,0.77,0.1,0.89,0.09
2,40,0.3,0.1,-0.2999999999999998,0.48304589153964794,0.84,0.04,0.92,0.06
2,50,0.4,0.1,0.0,0.0,0.88,0.07,0.98,0.02
2,100,0.7,0.2,0.0,0.0,0.91,0.03,0.97,0.03
2,200,1.0,0.1,0.0,0.0,0.94,0.02,0.98,0.02
2,300,1.6,0.2,0.0,0.0,0.97,0.01,0.99,0.01
2,400,1.9,0.5,0.0,0.0,0.98,0.01,1.0,0.01
2,500,1.9,0.4,0.0,0.0,0.98,0.01,1.0,0.01
3,20,0.1,0.1,-5.4,0.5163977794943222,0.73,0.17,0.9,0.06
3,30,0.3,0.2,-5.4,0.6992058987801011,0.85,0.09,0.89,0.03
3,40,0.4,0.1,-5.1,0.31622776601683794,0.8,0.08,0.92,0.02
3,50,0.5,0.3,-4.9,0.5676462121975466,0.87,0.08,0.9,0.04
3,100,1.5,0.8,-4.2,0.6324555320336759,0.91,0.04,0.93,0.02
3,200,4.4,3.0,-3.6,0.5163977794943222,0.93,0.03,0.95,0.03
3,300,9.0,3.9,-2.9000000000000004,0.316227766016838,0.95,0.02,0.97,0.01
3,400,11.7,4.5,-2.5999999999999996,0.5163977794943222,0.96,0.01,0.97,0.01
3,500,18.2,7.5,-2.5999999999999996,0.5163977794943222,0.97,0.02,0.98,0.01
4,20,0.2,0.1,-11.9,0.31622776601683794,0.78,0.15,0.92,0.1
4,30,0.3,0.2,-11.8,0.4216370213557839,0.84,0.1,0.94,0.04
4,40,0.3,0.2,-11.7,0.48304589153964794,0.84,0.12,0.92,0.08
4,50,0.3,0.1,-11.9,0.31622776601683794,0.89,0.06,0.93,0.05
4,100,1.1,0.8,-11.5,0.5270462766947299,0.93,0.03,0.96,0.01
4,200,4.1,3.8,-10.7,0.8232726023485646,0.94,0.05,0.97,0.01
4,300,9.5,4.2,-10.2,0.42163702135578385,0.95,0.03,0.97,0.01
4,400,10.6,4.6,-10.1,0.5676462121975466,0.96,0.03,0.97,0.01
4,500,19.6,13.7,-9.8,0.7888106377466155,0.99,0.02,0.98,0.01
5,20,0.1,0.0,-20.0,0.0,0.81,0.15,0.89,0.1
5,30,0.3,0.1,-20.0,0.0,0.83,0.13,0.9,0.1
5,40,0.4,0.4,-19.9,0.31622776601683794,0.85,0.08,0.94,0.06
5,50,0.3,0.1,-20.0,0.0,0.92,0.07,0.97,0.03
5,100,1.5,2.0,-19.7,0.483045891539648,0.91,0.06,0.99,0.01
6,20,0.2,0.1,-30.0,0.0,0.79,0.16,0.91,0.05
6,30,0.3,0.2,-30.0,0.0,0.86,0.13,0.92,0.09
6,40,0.4,0.3,-30.0,0.0,0.9,0.16,0.97,0.03
6,50,0.4,0.1,-30.0,0.0,0.97,0.18,0.97,0.03
6,100,0.9,0.2,-30.0,0.0,0.91,0.14,0.98,0.02
