dimension,samplesize,Time:Mean,Time:STD,Constrain_difference:Mean,Constrain_difference:Std,TPR:Mean,TPR:STD,TNR:Mean,TNR:STD
2,20,0.4,0.1,0,0.0,0.9,0.09,0.98,0.05
2,30,0.3,0.1,0,0.0,0.91,0.07,0.99,0.01
2,40,0.3,0.1,0,0.0,0.94,0.05,1.0,0.0
2,50,0.3,0.1,0,0.0,0.96,0.02,1.0,0.01
2,100,0.5,0.1,0,0.0,0.97,0.02,1.0,0.0
2,200,0.5,0.1,0,0.0,0.99,0.01,1.0,0.0
2,300,0.4,0.0,0,0.0,0.99,0.02,1.0,0.01
2,500,0.6,0.1,0,0.0,0.99,0.01,1.0,0.0
3,20,0.4,0.2,0,0.0,0.8,0.13,0.98,0.03
3,30,0.4,0.1,0,0.0,0.82,0.1,0.97,0.06
3,40,0.4,0.1,0,0.0,0.92,0.06,0.98,0.04
3,50,0.3,0.1,0,0.0,0.96,0.04,0.98,0.03
3,100,0.4,0.1,0,0.0,0.98,0.02,0.99,0.01
3,200,0.4,0.1,0,0.0,0.97,0.02,1.0,0.0
3,300,0.6,0.1,0,0.0,0.99,0.0,1.0,0.01
3,500,0.8,0.2,0,0.0,0.99,0.01,1.0,0.01
4,20,0.4,0.1,0,0.0,0.85,0.09,0.93,0.06
4,30,0.4,0.1,0,0.0,0.86,0.06,0.96,0.03
4,40,0.4,0.1,0,0.0,0.92,0.05,0.97,0.05
4,50,0.4,0.1,0,0.0,0.91,0.08,0.96,0.05
4,100,0.6,0.2,0,0.0,0.95,0.03,0.98,0.02
4,200,0.8,0.3,0,0.0,0.96,0.03,1.0,0.0
4,300,1.1,0.4,0,0.0,0.98,0.01,1.0,0.01
4,500,1.2,0.5,0,0.0,0.99,0.0,1.0,0.0
5,20,0.4,0.1,0,0.0,0.69,0.18,0.9,0.08
5,30,0.4,0.1,0,0.0,0.8,0.1,0.9,0.11
5,40,0.5,0.2,0,0.0,0.86,0.1,0.9,0.08
5,50,0.6,0.2,0,0.0,0.9,0.06,0.96,0.03
5,100,0.9,0.4,0,0.0,0.93,0.03,0.98,0.02
5,200,1.4,0.6,0,0.0,0.97,0.01,0.99,0.01
5,300,1.8,0.6,0,0.0,0.98,0.01,1.0,0.0
5,500,4.0,3.8,0,0.0,0.99,0.01,0.99,0.01
6,20,0.4,0.1,0,0.0,0.69,0.13,0.85,0.14
6,30,0.5,0.2,0,0.0,0.79,0.11,0.91,0.16
6,40,0.6,0.1,0,0.0,0.83,0.13,0.93,0.07
6,50,0.8,0.1,0,0.0,0.87,0.06,0.95,0.03
6,100,1.3,0.8,0,0.0,0.94,0.03,0.97,0.02
6,200,5.6,10.9,0,0.0,0.97,0.02,0.99,0.01
6,300,5.2,6.7,0,0.0,0.98,0.01,0.99,0.01
6,500,9.0,16.8,0,0.0,0.99,0.02,0.99,0.0
7,20,0.4,0.1,0,0.0,0.72,0.09,0.83,0.13
7,30,0.6,0.2,0,0.0,0.74,0.12,0.86,0.08
7,40,0.7,0.2,0,0.0,0.85,0.08,0.92,0.07
7,50,1.1,0.7,0,0.0,0.87,0.11,0.94,0.04
7,100,1.9,1.8,0,0.0,0.91,0.04,0.97,0.03
7,200,6.8,4.7,0,0.0,0.96,0.02,0.98,0.02
7,300,15.2,13.9,0,0.0,0.97,0.02,0.99,0.01
7,500,27.6,24.7,0,0.0,0.99,0.01,0.99,0.01
8,20,0.5,0.2,0,0.0,0.71,0.09,0.86,0.11
8,30,0.8,0.2,0,0.0,0.72,0.11,0.9,0.05
8,40,2.1,2.4,0,0.0,0.77,0.09,0.95,0.03
8,50,1.5,0.4,0,0.0,0.86,0.06,0.94,0.06
8,100,5.1,4.4,0,0.0,0.93,0.04,0.93,0.05
8,200,32.2,22.2,0,0.0,0.95,0.03,0.98,0.03
8,300,46.0,42.8,0,0.0,0.98,0.02,0.98,0.02
8,500,68.8,74.8,0,0.0,0.98,0.01,0.99,0.01
9,20,0.6,0.2,0,0.0,0.66,0.12,0.82,0.18
9,30,1.1,0.6,0,0.0,0.69,0.13,0.85,0.11
9,40,1.3,0.4,0,0.0,0.76,0.13,0.9,0.06
9,50,1.5,1.0,0,0.0,0.82,0.08,0.92,0.06
9,100,13.4,12.6,0,0.0,0.89,0.04,0.96,0.03
9,200,49.4,26.8,0,0.0,0.95,0.03,0.98,0.02
9,300,102.4,83.3,0,0.0,0.97,0.01,0.99,0.01
9,500,215.5,101.7,0,0.0,0.98,0.01,0.99,0.01
10,20,0.6,0.2,0,0.0,0.57,0.11,0.73,0.19
10,30,1.0,0.5,0,0.0,0.71,0.14,0.89,0.06
10,40,2.0,1.1,0,0.0,0.75,0.12,0.87,0.06
10,50,2.6,1.6,0,0.0,0.85,0.08,0.88,0.11
10,100,45.0,59.1,0,0.0,0.88,0.04,0.96,0.05
10,200,103.0,48.7,0,0.0,0.96,0.02,0.96,0.02
10,300,266.8,197.4,0,0.0,0.96,0.01,0.98,0.01
10,500,364.4,158.7,0,0.0,0.98,0.01,0.99,0.0
