dimension,samplesize,Time:Mean,Time:STD,Constrain_difference:Mean,Constrain_difference:Std,TPR:Mean,TPR:STD,TNR:Mean,TNR:STD,timeEXmean,timeEXstd
2,20,0.1,0.0,-1.6,0.5163977794943223,0.8,0.03,0.79,0.03,0.07264275550842285,0.010067466761032682
2,30,0.2,0.0,-1.4,0.5163977794943222,0.8,0.03,0.87,0.03,0.19198460578918458,0.021195526718641687
2,40,0.3,0.1,-1.4,0.5163977794943223,0.88,0.03,0.85,0.03,0.2832026481628418,0.05468450845245245
2,50,0.3,0.0,-1.1,0.31622776601683805,0.89,0.02,0.89,0.02,0.3398240804672241,0.041814611925043856
2,100,1.0,0.1,-0.7000000000000002,0.48304589153964794,0.93,0.01,0.95,0.01,0.9816182851791382,0.0778828706089814
2,200,1.3,0.1,0.0,0.0,0.97,0.0,1.0,0.0,1.2668622970581054,0.10492561076915924
2,300,1.8,0.2,0.09999999999999964,0.31622776601683794,0.96,0.01,1.0,0.0,1.7950262069702148,0.1840647027141466
2,500,2.3,0.2,0.0,0.0,0.98,0.0,1.0,0.0,2.2845844268798827,0.23106153851639522
3,20,0.1,0.0,-4.0,0.0,0.78,0.05,0.72,0.03,0.05574254989624024,0.0018554541265849013
3,30,0.4,0.1,-3.7,0.4830458915396479,0.78,0.04,0.76,0.03,0.35229055881500243,0.06301099070089457
3,40,0.7,0.1,-3.4,0.5163977794943222,0.83,0.02,0.78,0.02,0.7164051294326782,0.09213030345002635
3,50,1.3,0.1,-3.0,0.0,0.85,0.03,0.83,0.01,1.2870254039764404,0.13750840443867246
3,100,4.9,0.5,-2.7,0.48304589153964794,0.9,0.01,0.87,0.01,4.898941707611084,0.5052285758032788
3,200,14.1,1.4,-1.7999999999999998,0.4216370213557841,0.94,0.01,0.94,0.0,14.070463275909423,1.405492322550861
3,300,15.0,1.4,-1.0,0.47140452079103173,0.96,0.01,0.97,0.0,14.959118151664734,1.3786794223720533
3,500,24.7,2.6,-0.20000000000000018,0.42163702135578407,0.98,0.0,0.99,0.0,24.67395167350769,2.5967788045698437
4,20,0.2,0.0,-6.0,0.0,0.74,0.04,0.61,0.04,0.24430625438690184,0.011599532355752395
4,30,0.3,0.0,-6.0,0.0,0.79,0.04,0.62,0.02,0.3293401002883911,0.02135468691217797
4,40,0.4,0.0,-6.0,0.0,0.83,0.02,0.68,0.01,0.3963533163070679,0.029964245851757207
4,50,0.6,0.1,-5.8,0.4216370213557839,0.79,0.03,0.71,0.02,0.5509051322937012,0.05804565475393304
4,100,2.4,0.2,-4.9,0.31622776601683794,0.88,0.02,0.8,0.01,2.427999496459961,0.21806736028652648
4,200,17.9,0.9,-3.9000000000000004,0.316227766016838,0.91,0.01,0.9,0.01,17.87648649215698,0.9365757172553411
4,300,42.5,4.0,-3.4000000000000004,0.5163977794943222,0.92,0.01,0.92,0.01,42.520729422569275,3.9767013939145515
4,500,298.2,112.8,-2.4000000000000004,0.5163977794943223,0.97,0.01,0.96,0.0,298.1928028345108,112.75100131261671
5,20,0.2,0.0,-8.1,0.31622776601683794,0.67,0.05,0.61,0.03,0.21326262950897218,0.012016797740873596
5,30,0.2,0.0,-8.0,0.0,0.78,0.04,0.62,0.03,0.23247766494750977,0.021253728205089317
5,40,0.3,0.0,-8.0,0.0,0.75,0.03,0.66,0.01,0.34783282279968264,0.02373534737177029
5,50,0.5,0.0,-8.0,0.0,0.81,0.03,0.65,0.02,0.5483570337295532,0.025921798768077896
5,100,3.7,0.2,-7.0,0.0,0.85,0.02,0.79,0.01,3.6801450729370115,0.21977145268684176
5,200,32.4,2.6,-6.0,0.0,0.87,0.01,0.88,0.01,32.37480745315552,2.632992290630614
5,300,89.9,14.0,-6.0,0.0,0.92,0.01,0.89,0.01,89.91924486160278,13.989939328436801
5,500,584.5,115.8,-5.1,0.31622776601683794,0.96,0.01,0.92,0.01,584.5037695646286,115.78626498369722
