dimension,samplesize,Time:Mean,Time:STD,Constrain_difference:Mean,Constrain_difference:Std,TPR:Mean,TPR:STD,TNR:Mean,TNR:STD,timeEXmean,timeEXstd
0,20,0.0,0.0,-2.0,0.0,0.78,0.04,0.78,0.03,0.024523711204528807,0.002898196981886712
0,30,0.1,0.0,-2.0,0.0,0.79,0.03,0.82,0.02,0.0700577974319458,0.010809373092764191
0,40,0.1,0.0,-2.0,0.0,0.87,0.02,0.83,0.02,0.11525881290435791,0.016893907574599864
0,50,0.2,0.0,-2.0,0.0,0.89,0.01,0.85,0.02,0.1793905735015869,0.01993536991809305
0,100,0.8,0.3,-1.9,0.31622776601683794,0.94,0.01,0.93,0.01,0.8064334154129028,0.3468361731490838
0,200,5.3,1.2,-1.3,0.48304589153964794,0.94,0.01,0.96,0.01,5.314635539054871,1.2447340905222501
0,300,12.7,0.8,-1.0,0.0,0.95,0.01,0.97,0.0,12.66807062625885,0.7861342433634321
0,500,27.2,6.7,-1.0,0.47140452079103184,0.97,0.0,0.98,0.0,27.17331509590149,6.704016245923039
0,1000,132.9,12.1,0.0,0.0,0.98,0.0,0.99,0.0,132.88828294277192,12.129595783641319
0,2000,238.2,23.7,0.0,0.0,0.99,0.0,1.0,0.0,238.15660738945007,23.665413330792003
