dimension,samplesize,Time:Mean,Time:STD,Constrain_difference:Mean,Constrain_difference:Std,TPR:Mean,TPR:STD,TNR:Mean,TNR:STD,timeEXmean,timeEXstd
2,20,0.2,0.0,-1.7999999999999998,0.42163702135578385,0.84,0.03,0.75,0.03,0.16469960212707518,0.022432292989722356
2,30,0.3,0.0,-1.2999999999999998,0.4830458915396479,0.81,0.03,0.84,0.03,0.33556251525878905,0.028953831124513642
2,40,0.4,0.0,-1.1,0.316227766016838,0.83,0.02,0.89,0.02,0.42074496746063234,0.030549103170638053
2,50,0.5,0.0,-1.2000000000000002,0.42163702135578385,0.85,0.02,0.88,0.02,0.4919175148010254,0.04527838708216948
2,100,1.0,0.1,-0.7000000000000002,0.48304589153964794,0.93,0.01,0.94,0.01,0.9685616016387939,0.08221765213732547
2,200,1.9,0.2,0.0,0.0,0.95,0.0,0.98,0.0,1.8671491861343383,0.16364937678700942
2,300,2.7,0.2,0.0,0.0,0.96,0.01,0.98,0.01,2.675606632232666,0.24896031393162402
2,500,3.8,0.2,0.0,0.0,0.98,0.01,0.99,0.0,3.7626068353652955,0.20435007809650038
3,20,0.2,0.0,-4.0,0.0,0.66,0.04,0.68,0.02,0.18894619941711427,0.0064631082567561116
3,30,0.5,0.0,-4.0,0.0,0.87,0.03,0.68,0.01,0.5048881769180298,0.0217469603518394
3,40,1.4,0.2,-3.2,0.42163702135578396,0.8,0.02,0.82,0.02,1.386056613922119,0.16844745471925718
3,50,1.6,0.2,-3.1,0.31622776601683794,0.81,0.02,0.83,0.02,1.6079773902893066,0.1927940459512369
3,100,6.5,1.4,-2.4,0.5163977794943222,0.89,0.01,0.9,0.01,6.460944938659668,1.4406712288758494
3,200,16.5,3.0,-1.7000000000000002,0.4830458915396479,0.93,0.01,0.92,0.01,16.528556323051454,2.9782525649904557
3,300,29.8,4.0,-0.9000000000000004,0.316227766016838,0.94,0.01,0.96,0.0,29.758788800239564,4.0081181378570525
3,500,80.5,23.5,-0.40000000000000036,0.5163977794943223,0.95,0.0,0.97,0.0,80.48004820346833,23.54391519570542
4,20,0.3,0.0,-6.1,0.31622776601683794,0.68,0.06,0.57,0.05,0.34777853488922117,0.03622631719936905
4,30,1.1,0.1,-6.0,0.0,0.77,0.04,0.65,0.02,1.0580938339233399,0.13990546704417192
4,40,2.1,0.3,-6.0,0.0,0.81,0.03,0.66,0.01,2.086037015914917,0.29040070853409555
4,50,7.1,1.0,-5.3,0.48304589153964794,0.81,0.02,0.77,0.02,7.107666063308716,1.017525604898612
4,100,50.8,27.2,-4.9,0.31622776601683794,0.86,0.02,0.82,0.01,50.7915292263031,27.175253878060687
4,200,182.3,40.8,-3.8,0.42163702135578424,0.91,0.01,0.89,0.01,182.26207249164582,40.79509481056965
4,300,1603.9,612.5,-3.375,0.5175491695067654,0.94,0.01,0.91,0.01,654.8871105611324,152.61658655285308
4,500,1120.8,224.7,-2.9000000000000004,0.316227766016838,0.96,0.01,0.94,0.0,1120.8328610897065,224.73836221243295
5,20,0.5,0.1,-8.1,0.31622776601683794,0.6,0.06,0.61,0.04,0.5344007968902588,0.09753141116729278
5,30,2.4,0.3,-8.0,0.0,0.74,0.05,0.65,0.02,2.4037174463272093,0.2801688368667131
5,40,4.3,0.8,-8.0,0.0,0.72,0.02,0.68,0.01,4.303061175346374,0.8208211628585267
5,50,7.3,1.9,-8.0,0.0,0.82,0.02,0.65,0.01,7.257509231567383,1.8638059152628432
5,100,103.9,19.4,-7.0,0.0,0.82,0.01,0.81,0.01,103.89342408180237,19.398699254317336
5,200,2837.8,483.0,-6.125,0.3535533905932738,0.91,0.0,0.85,0.01,2197.2833213806152,328.8608220078033
5,300,5118.5,267.1,-7.0,,0.87,0.0,0.82,0.0,2584.834219474925,0.0
5,500,5031.8,349.3,-5.0,,0.94,0.0,0.93,0.0,1717.8711743354795,0.0
