dimension,samplesize,Time:Mean,Time:STD,Constrain_difference:Mean,Constrain_difference:Std,TPR:Mean,TPR:STD,TNR:Mean,TNR:STD,timeEXmean,timeEXstd
2,20,0.1,0.0,-0.8999999999999999,0.5676462121975466,0.84,0.04,0.85,0.03,0.13111963272094726,0.012717484607316757
2,30,0.3,0.0,-0.3999999999999999,0.5163977794943223,0.77,0.03,0.89,0.03,0.2741182565689087,0.02863692215009914
2,40,0.3,0.0,-0.2999999999999998,0.48304589153964794,0.84,0.01,0.92,0.02,0.287637996673584,0.02992675274079703
2,50,0.4,0.0,0.0,0.0,0.88,0.02,0.98,0.01,0.4135445117950439,0.018296434439143392
2,100,0.7,0.1,0.0,0.0,0.91,0.01,0.97,0.01,0.6612281322479248,0.0653073516584235
2,200,1.0,0.0,0.0,0.0,0.94,0.01,0.98,0.01,0.9535799980163574,0.04220945855554659
2,300,1.6,0.1,0.0,0.0,0.97,0.0,0.99,0.0,1.5683889627456664,0.0696832203329097
2,500,1.9,0.1,0.0,0.0,0.98,0.0,1.0,0.0,1.876396942138672,0.12308504526477611
3,20,0.1,0.0,-5.4,0.5163977794943222,0.73,0.05,0.9,0.02,0.14227702617645263,0.018055714248455704
3,30,0.3,0.1,-5.4,0.6992058987801011,0.85,0.03,0.89,0.01,0.2506412029266357,0.05597971941232218
3,40,0.4,0.0,-5.1,0.31622776601683794,0.8,0.02,0.92,0.01,0.3528822183609009,0.04438866375891966
3,50,0.5,0.1,-4.9,0.5676462121975466,0.87,0.02,0.9,0.01,0.5468287229537964,0.10156427299725486
3,100,1.5,0.3,-4.2,0.6324555320336759,0.91,0.01,0.93,0.01,1.459582257270813,0.2500966636122353
3,200,4.4,0.9,-3.6,0.5163977794943222,0.93,0.01,0.95,0.01,4.415848898887634,0.9108235383411271
3,300,9.0,1.2,-2.9000000000000004,0.316227766016838,0.95,0.01,0.97,0.0,8.987583827972411,1.166637946601865
3,500,18.2,2.2,-2.5999999999999996,0.5163977794943222,0.97,0.01,0.98,0.0,18.152082419395448,2.241264023515426
4,20,0.2,0.0,-11.9,0.31622776601683794,0.78,0.04,0.92,0.03,0.18242065906524657,0.03292366870210169
4,30,0.3,0.1,-11.8,0.4216370213557839,0.84,0.03,0.94,0.01,0.2618535041809082,0.06119645573885828
4,40,0.3,0.1,-11.7,0.48304589153964794,0.84,0.03,0.92,0.03,0.3140392303466797,0.06118128823818791
4,50,0.3,0.0,-11.9,0.31622776601683794,0.89,0.02,0.93,0.01,0.26848104000091555,0.029099251490119556
4,100,1.1,0.3,-11.5,0.5270462766947299,0.93,0.01,0.96,0.0,1.07114520072937,0.25465831219972
4,200,4.1,1.1,-10.7,0.8232726023485646,0.94,0.01,0.97,0.0,4.0683879375457765,1.1267381607219114
4,300,9.5,1.3,-10.2,0.42163702135578385,0.95,0.01,0.97,0.0,9.485854744911194,1.252384875971664
4,500,19.6,4.1,-9.8,0.7888106377466155,0.99,0.01,0.98,0.0,19.61294631958008,4.0960416714936185
5,20,0.1,0.0,-20.0,0.0,0.81,0.05,0.89,0.03,0.13807973861694336,0.005097379641751384
5,30,0.3,0.0,-20.0,0.0,0.83,0.04,0.9,0.03,0.2836838006973267,0.03135881470607519
5,40,0.4,0.1,-19.9,0.31622776601683794,0.85,0.02,0.94,0.02,0.42855331897735593,0.13491492185515613
5,50,0.3,0.0,-20.0,0.0,0.92,0.02,0.97,0.01,0.2579349517822266,0.019774931693551327
5,100,1.5,0.6,-19.7,0.483045891539648,0.91,0.02,0.99,0.0,1.4575769662857057,0.5868611841557146
5,200,4.0,1.6,-19.5,0.5270462766947299,0.94,0.02,0.98,0.0,3.9887830018997192,1.5608313525632576
5,300,3.2,0.8,-19.5,0.5270462766947299,1.0,0.02,0.99,0.0,3.1678644895553587,0.8437562286767923
5,500,9.4,3.7,-19.4,0.8432740427115678,0.97,0.02,0.99,0.0,9.38728415966034,3.6803543628709368
