dimension,samplesize,Time:Mean,Time:STD,Constrain_difference:Mean,Constrain_difference:Std,TPR:Mean,TPR:STD,TNR:Mean,TNR:STD,timeEXmean,timeEXstd
0,20,0.1,0.0,-8.5,0.5270462766947299,0.74,0.03,0.74,0.04,0.14395666122436523,0.010896773614835004
0,30,0.3,0.0,-7.1,0.5676462121975466,0.82,0.02,0.86,0.03,0.28875720500946045,0.03795350007473958
0,40,0.7,0.2,-6.7,0.6749485577105528,0.77,0.03,0.94,0.01,0.714082407951355,0.18220162233406265
0,50,1.1,0.2,-6.6,0.5163977794943223,0.86,0.02,0.92,0.01,1.0633247137069701,0.20694208783204182
0,100,5.9,1.6,-6.0,0.6666666666666666,0.91,0.02,0.95,0.01,5.920502448081971,1.5616486192139325
0,200,25.5,8.6,-5.3,0.4830458915396479,0.93,0.01,0.98,0.0,25.450385093688965,8.638620982366568
0,300,42.8,12.5,-4.9,0.8755950357709131,0.95,0.0,0.98,0.0,42.84550943374634,12.542182107524992
0,500,114.4,12.8,-4.3,0.4830458915396479,0.98,0.0,0.99,0.0,114.41395483016967,12.751056573305373
0,1000,449.1,84.0,-4.0,0.0,0.99,0.0,1.0,0.0,449.131564950943,84.00193508617686
0,2000,2020.7,475.8,-4.0,0.0,0.99,0.0,1.0,0.0,1645.2633948061202,350.449672619869
