dimension,samplesize,Time:Mean,Time:STD,Constrain_difference:Mean,Constrain_difference:Std,TPR:Mean,TPR:STD,TNR:Mean,TNR:STD
2,20,0.5,0.2,-0.7999999999999998,0.7888106377466155,0.78,0.13,0.88,0.08
2,30,1.2,0.6,-0.5,0.5270462766947299,0.89,0.06,0.88,0.06
2,40,1.5,0.7,0.2999999999999998,0.8232726023485646,0.86,0.07,0.97,0.04
2,50,1.9,0.7,0.20000000000000018,0.9189365834726815,0.82,0.09,0.97,0.04
2,100,4.5,2.4,0.7999999999999998,0.6324555320336759,0.91,0.05,0.99,0.02
2,200,19.5,16.0,1.0,0.0,0.96,0.02,1.0,0.0
2,300,54.3,64.6,1.0,0.0,0.97,0.01,1.0,0.0
2,400,53.9,27.4,0.40000000000000036,0.8432740427115677,0.99,0.01,1.0,0.0
2,500,58.4,25.8,1.0,0.0,0.98,0.01,1.0,0.0
3,20,1.0,0.5,1.0,0.0,0.77,0.11,0.78,0.07
3,30,2.0,0.5,1.0,0.0,0.75,0.09,0.84,0.05
3,40,2.8,1.1,-2.8,0.7888106377466155,0.83,0.06,0.9,0.03
3,50,6.9,3.4,-2.2,0.6324555320336758,0.85,0.07,0.93,0.03
3,100,29.1,33.4,-1.9000000000000004,0.875595035770913,0.91,0.04,0.95,0.03
3,200,288.0,327.8,-0.9000000000000004,0.737864787372622,0.95,0.02,0.99,0.02
3,300,1186.3,2569.7,-0.7000000000000002,0.8232726023485647,0.96,0.01,1.0,0.0
3,400,772.2,1137.8,0.7000000000000002,0.6749485577105528,0.98,0.01,0.99,0.01
3,500,987.3,731.4,1.0,0.0,0.98,0.01,1.0,0.0
4,20,2.1,0.8,-4.6,0.8432740427115678,0.72,0.08,0.8,0.07
4,30,3.6,3.7,-4.2,0.7888106377466155,0.77,0.1,0.82,0.05
4,40,13.8,13.0,-3.7,0.6749485577105528,0.82,0.09,0.86,0.05
4,50,19.5,31.0,-3.5,0.97182531580755,0.88,0.08,0.86,0.06
4,100,269.8,148.3,-2.5999999999999996,0.9660917830792959,0.9,0.04,0.93,0.03
4,200,793.8,391.5,-1.5999999999999996,0.8432740427115678,0.95,0.02,0.97,0.01
4,300,3324.6,3158.6,-0.9000000000000004,1.1972189997378646,0.95,0.03,0.98,0.02
