dimension,samplesize,Time:Mean,Time:STD,Constrain_difference:Mean,Constrain_difference:Std,TPR:Mean,TPR:STD,TNR:Mean,TNR:STD
2,20,0.6,0.2,0.20000000000000018,0.42163702135578396,0.69,0.13,0.9,0.06
2,30,0.9,0.3,0.5,0.8498365855987975,0.73,0.13,0.9,0.07
2,40,1.2,0.5,0.0,0.6666666666666666,0.84,0.09,0.9,0.06
2,50,1.4,0.6,0.20000000000000018,0.42163702135578385,0.88,0.09,0.95,0.03
2,100,2.5,0.6,0.0,0.0,0.91,0.03,0.99,0.01
2,200,9.7,14.6,0.0,0.0,0.95,0.02,0.99,0.01
2,300,9.2,2.2,0.0,0.0,0.97,0.02,0.99,0.0
2,400,12.8,4.1,-3.2,0.9189365834726815,0.98,0.01,1.0,0.0
2,500,18.9,11.2,-2.8,0.42163702135578396,0.98,0.01,1.0,0.0
3,20,0.9,0.7,0.0,0.0,0.75,0.15,0.87,0.08
3,30,1.5,0.7,0.10000000000000009,0.316227766016838,0.8,0.11,0.87,0.05
3,40,1.7,0.8,-4.4,0.699205898780101,0.82,0.09,0.91,0.04
3,50,2.4,0.5,-4.3,0.8232726023485646,0.85,0.06,0.9,0.04
3,100,8.8,7.7,-4.2,0.7888106377466155,0.91,0.06,0.93,0.03
3,200,34.8,30.7,-3.9,0.8755950357709131,0.94,0.02,0.96,0.02
3,300,114.1,47.4,-3.7,0.9486832980505138,0.96,0.01,0.97,0.01
3,400,385.6,475.2,-2.5,0.7071067811865475,0.97,0.01,0.98,0.01
3,500,361.3,311.0,-2.0999999999999996,0.7378647873726221,0.97,0.01,0.98,0.01
4,20,0.9,0.6,-10.7,0.4830458915396479,0.75,0.12,0.9,0.04
4,30,1.7,0.9,-10.5,0.7071067811865475,0.87,0.08,0.9,0.06
4,40,1.9,1.0,-10.3,0.4830458915396479,0.88,0.05,0.88,0.04
4,50,6.1,3.6,-10.1,0.5676462121975467,0.88,0.09,0.94,0.02
4,100,35.4,37.3,-9.9,0.7378647873726218,0.93,0.03,0.95,0.03
4,200,112.3,107.4,-9.7,0.8232726023485646,0.94,0.03,0.96,0.01
4,300,408.9,600.3,-9.3,0.6749485577105531,0.96,0.03,0.97,0.01
